"yr","stdg_cd","dat_no","jan","feb","mar","apr","may","jun","july","aug","sep","oct","nov","dec","qu_1","qu_2","qu_3","qu_4","ht_1","ht_2","yr_vl","pd_se","frst_reg_dt","last_mdfcn_dt"
"2020","4671000000",M020011,,,,,,,,,,,,,,,,,,,2994,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4183000000",M020011,,,,,,,,,,,,,,,,,,,6269,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4882000000",M020011,,,,,,,,,,,,,,,,,,,4021,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4280000000",M020011,,,,,,,,,,,,,,,,,,,1026,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","1162000000",M020011,,,,,,,,,,,,,,,,,,,11503,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2914000000",M020011,,,,,,,,,,,,,,,,,,,7491,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2723000000",M020011,,,,,,,,,,,,,,,,,,,10692,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2617000000",M020011,,,,,,,,,,,,,,,,,,,5137,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4822000000",M020011,,,,,,,,,,,,,,,,,,,6435,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4690000000",M020011,,,,,,,,,,,,,,,,,,,3072,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4687000000",M020011,,,,,,,,,,,,,,,,,,,3698,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4111100000",M020011,,,,,,,,,,,,,,,,,,,7535,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4282000000",M020011,,,,,,,,,,,,,,,,,,,2006,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4711000000",M020011,,,,,,,,,,,,,,,,,,,16190,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","1144000000",M020011,,,,,,,,,,,,,,,,,,,8569,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4161000000",M020011,,,,,,,,,,,,,,,,,,,5271,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4128000000",M020011,,,,,,,,,,,,,,,,,,,26098,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2920000000",M020011,,,,,,,,,,,,,,,,,,,6942,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","2720000000",M020011,,,,,,,,,,,,,,,,,,,8061,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2647000000",M020011,,,,,,,,,,,,,,,,,,,6252,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4375000000",M020011,,,,,,,,,,,,,,,,,,,2645,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4482500000",M020011,,,,,,,,,,,,,,,,,,,3631,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4513000000",M020011,,,,,,,,,,,,,,,,,,,10145,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4728000000",M020011,,,,,,,,,,,,,,,,,,,5120,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","1159000000",M020011,,,,,,,,,,,,,,,,,,,9187,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4418000000",M020011,,,,,,,,,,,,,,,,,,,5710,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4711000000",M020011,,,,,,,,,,,,,,,,,,,18743,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4146500000",M020011,,,,,,,,,,,,,,,,,,,5279,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4161000000",M020011,,,,,,,,,,,,,,,,,,,7459,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2771000000",M020011,,,,,,,,,,,,,,,,,,,4971,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4691000000",M020011,,,,,,,,,,,,,,,,,,,3516,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","3014000000",M020011,,,,,,,,,,,,,,,,,,,8475,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2814000000",M020011,,,,,,,,,,,,,,,,,,,2715,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4311200000",M020011,,,,,,,,,,,,,,,,,,,6371,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4790000000",M020011,,,,,,,,,,,,,,,,,,,4110,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4148000000",M020011,,,,,,,,,,,,,,,,,,,11277,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","2820000000",M020011,,,,,,,,,,,,,,,,,,,14018,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","1150000000",M020011,,,,,,,,,,,,,,,,,,,18123,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
